bookName,noOfWords,verbRatio,nounRatio,adjectiveRatio
Gen,46732,0.10977488658734914,0.18980570059060173,0.01925875203286827
Exo,38850,0.12833976833976835,0.19683397683397683,0.02265122265122265
Lev,28973,0.16225451282228281,0.1835847168053015,0.033893625099230315
Num,38357,0.11085329926740882,0.21703991448757723,0.021769168600255493
Deu,33323,0.1617801518470726,0.1771749242265102,0.022416949254268823
Jos,22107,0.08485999909530918,0.23001764147102727,0.013615596869769757
Jdg,22484,0.09998220957125066,0.19507205123643478,0.016278242305639568
Rut,3149,0.14226738647189585,0.1546522705620832,0.023499523658304225
1Sa,30228,0.1211128754796877,0.1872766971020246,0.016805610692073574
2Sa,24807,0.10892086910952553,0.2020397468456484,0.018502841939775062
1Ki,29087,0.1004916285625881,0.21085020799669957,0.018255578093306288
2Ki,28005,0.09787537939653633,0.20524906266738083,0.016675593643992143
1Ch,24668,0.05509161666936922,0.276228311983136,0.017999027079617317
2Ch,29934,0.08572192156076702,0.2276341284158482,0.02254960914010824
Ezr,8732,0.08944113605130555,0.24587723316536875,0.01717819514429684
Neh,12491,0.07653510527579857,0.23424865903450484,0.02073492914898727
Est,6526,0.11691694759423843,0.2224946368372663,0.024977015016855654
Job,22129,0.1766460300962538,0.16010664738578337,0.030502959916851192
Psa,52404,0.17910846500267155,0.18948935195786581,0.030131287687962752
Pro,18569,0.17906187732241907,0.18897086542086272,0.05196833432064193
Ecc,6545,0.18273491214667686,0.17188693659281895,0.038349885408708935
Sol,3503,0.12475021410219811,0.20610904938624036,0.041107622038252925
Isa,44580,0.18429789143113504,0.18393898609241813,0.027231942575145805
Jer,51042,0.16729360134790958,0.1916069119548607,0.02059088593707143
Lam,4022,0.17652909000497266,0.1964196916956738,0.023371456986573842
Eze,46503,0.13988344837967442,0.1825903705137303,0.027267058039266285
Dan,13833,0.1318585990023856,0.1947516807633919,0.031446540880503145
Hos,6214,0.18120373350498872,0.18603154168007724,0.01931123270035404
Joe,2361,0.18636171113934774,0.21728081321473952,0.035578144853875476
Amo,4921,0.1668360089412721,0.19752082909977647,0.022149969518390572
Oba,782,0.18030690537084398,0.19309462915601022,0.017902813299232736
Jon,1586,0.1330390920554855,0.1601513240857503,0.03656998738965952
Mic,3615,0.17704011065006917,0.20580912863070538,0.023236514522821577
Nah,1496,0.16443850267379678,0.20053475935828877,0.03943850267379679
Hab,1727,0.15286624203821655,0.18645049218297627,0.0335842501447597
Zep,1900,0.1794736842105263,0.21,0.026842105263157896
Hag,1400,0.12071428571428572,0.20857142857142857,0.02857142857142857
Zec,7596,0.15784623486045288,0.18575566087414427,0.024881516587677725
Mal,2202,0.17801998183469572,0.1684831970935513,0.02316076294277929
Mat,28961,0.15776388936846103,0.15144504678705845,0.02907358171333863
Mar,18401,0.14113363404162818,0.13814466605075812,0.02728112602575947
Luk,31651,0.1515275978642065,0.14451360146598843,0.02650785125272503
Joh,23887,0.15719847615858,0.13806673085778876,0.018420061121111903
Act,28523,0.12572310065561126,0.1732636819408898,0.024857132840164078
Rom,11496,0.1737125956854558,0.17414752957550453,0.03114126652748782
1Co,11441,0.19255309850537541,0.15837776418145266,0.0337383095883227
2Co,7318,0.16288603443563815,0.15181743645804865,0.03566548237223285
Gal,3718,0.16810112963959117,0.16783216783216784,0.027165142549757933
Eph,3531,0.15208156329651656,0.19909374114981593,0.03228547153780799
Phi,2572,0.16796267496111975,0.17846034214618975,0.03732503888024884
Col,2335,0.15289079229122055,0.19528907922912206,0.032119914346895075
1Th,2144,0.16417910447761194,0.17537313432835822,0.028917910447761194
2Th,1191,0.1746431570109152,0.18219983207388749,0.0327455919395466
1Ti,2704,0.1834319526627219,0.20044378698224852,0.05695266272189349
2Ti,1964,0.18228105906313646,0.1909368635437882,0.04378818737270876
Tit,1061,0.19038642789820923,0.1885014137606032,0.09142318567389256
Phm,529,0.12476370510396975,0.18714555765595464,0.043478260869565216
Heb,8179,0.16187798019317765,0.17214818437461793,0.041080816725761096
Jam,2724,0.21255506607929514,0.1817180616740088,0.044787077826725405
1Pe,2935,0.16592844974446339,0.17717206132879046,0.049403747870528106
2Pe,1789,0.16098378982671885,0.18557853549468978,0.05422023476802683
1Jo,2935,0.20681431005110731,0.15604770017035774,0.02282793867120954
2Jo,350,0.22,0.16857142857142857,0.017142857142857144
3Jo,351,0.21082621082621084,0.14814814814814814,0.039886039886039885
Jud,722,0.15373961218836565,0.20221606648199447,0.05955678670360111
Rev,13851,0.12807739513392535,0.19254927442061945,0.036892643130459896
